"id","object","title","artist","year_start","place"
"O26744","Card game","pandas' party","Unknown",,"England"
"O49687","Set of soft toy pandas","","Fiat",,"Asia"
"O1160896","Sculpture","Bruised","Ji Ji",,"Shanghai"
"O1177173","Sculpture","Angry","Ji Ji",,"Shanghai"
"O1363217","Teddy bear","Panda","unknown",,"United Kingdom"
"O1154563","Olympic Mascot","Jingjing","unknown",,"China"
"O152123","Plaque","","Unknown",,"Guangdong"
"O1193257","birthday cards","","Hallmark Cards",,"Great Britain"
"O1152697","Teddy bear","","Schuco",,"Germany"
"O107238","Print","Slottizoo Panda","Richards, Clifford",,"United Kingdom"
